No,V-Vs,V-Vs uncertainty,Vs,Vs uncertainty,Vp,Vp uncertainty
0,-0.001,0.0005,0.000,0.0005,0.000,0.0005
1,0.001,0.0005,0.000,0.0005,0.000,0.0005
2,0.201,0.0005,0.000,0.0005,0.000,0.0005
3,0.301,0.0005,0.001,0.0005,0.001,0.0005
4,0.400,0.0005,0.003,0.0005,0.002,0.0005
5,0.500,0.0005,0.005,0.0005,0.004,0.0005
6,0.599,0.0005,0.007,0.0005,0.006,0.0005
7,0.697,0.0005,0.010,0.0005,0.008,0.0005
8,0.794,0.0005,0.012,0.0005,0.010,0.0005
9,0.902,0.0005,0.016,0.0005,0.012,0.0005
10,0.997,0.0005,0.019,0.0005,0.013,0.0005
11,1.103,0.0005,0.022,0.0005,0.014,0.0005
12,1.199,0.0005,0.026,0.0005,0.014,0.0005
13,1.297,0.0005,0.029,0.0005,0.015,0.0005
14,1.396,0.0005,0.033,0.0005,0.015,0.0005
15,1.503,0.0005,0.037,0.0005,0.015,0.0005
16,1.600,0.0005,0.041,0.0005,0.014,0.0005
17,1.705,0.0005,0.045,0.0005,0.014,0.0005
18,1.805,0.0005,0.049,0.0005,0.014,0.0005
19,1.902,0.0005,0.054,0.0005,0.013,0.0005
20,1.999,0.0005,0.058,0.0005,0.013,0.0005
21,2.07,0.005,0.062,0.0005,0.013,0.0005
22,2.17,0.005,0.066,0.0005,0.012,0.0005
23,2.30,0.005,0.072,0.0005,0.012,0.0005
24,2.40,0.005,0.077,0.0005,0.011,0.0005
25,2.50,0.005,0.081,0.0005,0.011,0.0005
26,2.60,0.005,0.086,0.0005,0.011,0.0005
27,2.70,0.005,0.090,0.0005,0.010,0.0005
28,2.80,0.005,0.095,0.0005,0.010,0.0005
29,2.90,0.005,0.100,0.0005,0.010,0.0005
30,3.00,0.005,0.104,0.0005,0.010,0.0005
31,3.10,0.005,0.108,0.0005,0.010,0.0005
32,3.20,0.005,0.113,0.0005,0.010,0.0005
33,3.30,0.005,0.118,0.0005,0.009,0.0005
34,3.40,0.005,0.122,0.0005,0.009,0.0005
35,3.50,0.005,0.126,0.0005,0.0097,5E-05
36,4.00,0.005,0.148,0.0005,0.0094,5E-05
37,4.50,0.005,0.171,0.0005,0.0092,5E-05
38,5.00,0.005,0.196,0.0005,0.0093,5E-05
39,5.50,0.005,0.221,0.0005,0.0096,5E-05
40,6.00,0.005,0.247,0.0005,0.0103,5E-05
41,6.50,0.005,0.274,0.0005,0.0112,5E-05
42,7.00,0.005,0.302,0.0005,0.0123,5E-05
43,7.50,0.005,0.332,0.0005,0.0137,5E-05
44,8.00,0.005,0.363,0.0005,0.0155,5E-05
45,8.50,0.005,0.395,0.0005,0.0179,5E-05
46,9.00,0.005,0.428,0.0005,0.0208,5E-05
47,9.50,0.005,0.462,0.0005,0.0248,5E-05
48,10.00,0.005,0.497,0.0005,0.0299,5E-05
49,10.50,0.005,0.532,0.0005,0.0354,5E-05
50,11.00,0.005,0.566,0.0005,0.0427,5E-05
51,11.50,0.005,0.590,0.0005,0.0635,5E-05
52,11.51,0.005,0.594,0.0005,0.0641,5E-05
53,11.52,0.005,0.595,0.0005,0.0652,5E-05
54,11.53,0.005,0.597,0.0005,0.0664,5E-05
55,11.54,0.005,0.598,0.0005,0.0677,5E-05
56,11.55,0.005,0.599,0.0005,0.0689,5E-05
57,11.56,0.005,0.61,0.005,0.1455,5E-05
58,11.57,0.005,0.62,0.005,0.1862,5E-05
59,11.60,0.005,0.61,0.005,0.196,0.0005
60,12.00,0.005,1.89,0.005,1.813,0.0005
